"url","full_url","matched_heading","contact_section_full","phone","email","fax","extraction_success"
"/3M/en_US/plant-locations-us/decatur/","https://www.3m.com/3M/en_US/plant-locations-us/decatur/","Contact section (fallback)","Contact InformationGo to Site Map Account Sign In Sign in to bCom Account US - EN Products Industries Brands 3M in the United States English - EN Change 3M Location Save Products Industries Abrasives Adhesives, Sealants & Fillers Advanced Materials Automotive Parts & Hardware Building Materials Cleaning Supplies Coatings Compounds & Polishes Electrical Electronics Materials & Components Films & Sheeting Filtration & Separation Home Insulation Lab Supplies & Testing Labels Lubricants Medical Office Supplies Personal Protective Equipment Signage & Marking Tapes Tools & Equipment View all 3M products Automotive Commercial Solutions Consumer Markets Design & Construction Electronics Energy Government Manufacturing Safety Transportation At 3M, we discover and innovate in nearly every industry to help solve problems around the world. 3M United States About 3M 3M Plant Locations 3M Decatur 3M Plant Locations Welcome to 3M Decatur loadPageModule('kungfu/Hero/HeroCTA'); loadPageModule('kungfu/dropHTML_Lightbox/lightboxTrigger'); Welcome to 3M Decatur! 3M is a global innovator that never stops moving forward. For more than 120 years, we have worked to improve daily life for millions across the globe. We have made driving at night easier, made buildings safer, and made consumer electronics lighter, and less energy intensive. We even helped put a man on the moon. Each day at 3M, one idea always leads to the next, igniting momentum to make progress possible around the world. Jump to: In the Community History Production Lines and Technology Workforce Environmental Stewardship Interim Consent Order Newsroom History of 3M in Decatur The 3M plant in Decatur is an integral part of the Decatur-Morgan County business community and the growth of the north Alabama region – one of the fastest growing economies in the U.S. The company launched its Decatur operations in 1961 with the establishment of a plant producing certain chemistries. The following year the film plant began operations on the same site. The site production portfolio expanded again in 1997 with the establishment of a joint venture between 3M's fluoroelastomer business with German company Hoescht to form Dyneon. Decatur was the key producer of the 3M products involved in the venture. In 1998, Dyneon built its own facility on the Decatur site for production of these materials. In 1999, 3M purchased Dyneon from Hoescht Today, the 3M footprint in Decatur covers 848 acres and includes more than 2.5 million square feet under roof.","","","","Success"
"/3M/en_US/plant-locations-us/guin/","https://www.3m.com/3M/en_US/plant-locations-us/guin/","No heading found","Contact 3M Guin Plant Related Links City of Guin Guin Elementary School Marion County High School Journal Record loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Guin Plant Contact 3M Guin Plant","","","","Success"
"/3M/en_US/plant-locations-us/littlerock/","https://www.3m.com/3M/en_US/plant-locations-us/littlerock/","No heading found","Contact 3M Little Rock Plant Related Links Little Rock Chamber of Commerce Bill and Hilary Clinton National Airport Arkansas Democrat Gazette loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Little Rock Plant Contact 3M Little Rock Plant","","","","Success"
"/3M/en_US/plant-locations-us/corona/","https://www.3m.com/3M/en_US/plant-locations-us/corona/","No heading found","Contact 3M Corona Plant Related Links City of Corona Corona Chamber of Commerce Press Enterprise Newspaper Corona-Norco United Way Contact 3M Corona Plant Contact 3M Corona Plant","","","","Success"
"/3M/en_US/plant-locations-us/irvine/","https://www.3m.com/3M/en_US/plant-locations-us/irvine/","No heading found","Contact 3M Irvine Plant Related Links Directions to Plant Irvine Chamber of Commerce Orange County Register The Times Orange County Orange County Visitor’s Center Contact 3M Irvine Plant Contact 3M Irvine Plant","","","","Success"
"/3M/en_US/plant-locations-us/monrovia/","https://www.3m.com/3M/en_US/plant-locations-us/monrovia/","No heading found","Contact 3M Monrovia Plant Related Links City of Monrovia Monrovia Chamber of Commerce Old Town Monrovia The Monrovia Weekly Newspaper loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Monrovia Plant Contact 3M Monrovia Plant","","","","Success"
"/3M/en_US/plant-locations-us/northridge/","https://www.3m.com/3M/en_US/plant-locations-us/northridge/","No heading found","Contact 3M Northridge Related Links Northridge Plant Safety Video North Valley Regional Chamber of Commerce Northridge on Wikipedia Los Angeles Times loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Northridge Plant Contact 3M Northridge Plant","","","","Success"
"/3M/en_US/plant-locations-us/newark/","https://www.3m.com/3M/en_US/plant-locations-us/newark/","No heading found","Contact 3M Newark Plant Related Links City of Newark University of Delaware Downtown Newark Partnership Newark Senior Center loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Newark Plant Contact 3M Newark Plant","","","","Success"
"/3M/en_US/plant-locations-us/cordova/","https://www.3m.com/3M/en_US/plant-locations-us/cordova/","Contact section (fallback)","Contact InformationGo to Site Map Account Sign In Sign in to bCom Account US - EN Products Industries Brands 3M in the United States English - EN Change 3M Location Save Products Industries Abrasives Adhesives, Sealants & Fillers Advanced Materials Automotive Parts & Hardware Building Materials Cleaning Supplies Coatings Compounds & Polishes Electrical Electronics Materials & Components Films & Sheeting Filtration & Separation Home Insulation Lab Supplies & Testing Labels Lubricants Medical Office Supplies Personal Protective Equipment Signage & Marking Tapes Tools & Equipment View all 3M products Automotive Commercial Solutions Consumer Markets Design & Construction Electronics Energy Government Manufacturing Safety Transportation At 3M, we discover and innovate in nearly every industry to help solve problems around the world. 3M United States About 3M 3M Plant Locations 3M Cordova 3M Plant Locations Welcome to 3M Cordova loadPageModule('kungfu/Hero/HeroCTA'); loadPageModule('kungfu/dropHTML_Lightbox/lightboxTrigger'); Proud to be part of the Cordova community for more than 50 years. 3M Cordova is a high-tech facility consisting of Electronic Materials and Internal Materials manufacturing. We blend, react and purify hundreds of products using a wide variety of technologies throughout the plant. Ultimately, these products are used by other 3M manufacturing facilities or go into industrial, commercial and consumer applications around the world for a broad range of customers. Our facility creates career opportunities for more than 500 employees making a wide variety of technologies that enable products such as Post-It™ Notes, Scotch Magic™ Tape, Scotch Blue™ Painter’s Tape and several medical tapes to “stick.” /* Remove the margin from the heading */ #pageContent > div.MMM--grids > div.component-container.MMM--grids-col_single.MMM--grids-col.ibmDndColumn.id-Z7_0GP450IKMHNVMGS07RDRQ1D217 > div.component-control.id-Z7_79L2HO02KOM5C06GT4VAQII0K5 > div > div.MMM--pageSectionTitle.MMM--wysiwyg > h2 { margin: 0; }","","","","Success"
"/3M/en_US/plant-locations-us/dekalb/","https://www.3m.com/3M/en_US/plant-locations-us/dekalb/","No heading found","Contact 3M DeKalb Plant Related Links City of DeKalb DeKalb Chamber of Commerce Northern Illinois University Daily Chronicle Newspaper loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M DeKalb Plant Contact 3M DeKalb Plant","","","","Success"
"/3M/en_US/plant-locations-us/hartfordcity/","https://www.3m.com/3M/en_US/plant-locations-us/hartfordcity/","No heading found","Contact 3M Hartford City Plant Related Links Hartford City Blackford County Directions to 3M Hartford City Plant Contact 3M Hartford City Plant Contact 3M Hartford City Plant","","","","Success"
"/3M/en_US/plant-locations-us/indianapolis/","https://www.3m.com/3M/en_US/plant-locations-us/indianapolis/","No heading found","Contact 3M Indianapolis Plant Related Links Visit Indy Indianapolis Airport Indianapolis Motor Speedway The Indianapolis Star 3M Indianapolis Plant Greetings from 3M Indianapolis Contact 3M Indianapolis Plant Contact 3M Indianapolis Plant","","","","Success"
"/3M/en_US/plant-locations-us/ames/","https://www.3m.com/3M/en_US/plant-locations-us/ames/","No heading found","Contact 3M Ames Related Links Ames Tribune Ames Chamber of Commerce Ames, Iowa Current Weather Conditions Contact 3M Ames Plant Contact 3M Ames Plant","","","","Success"
"/3M/en_US/plant-locations-us/knoxville/","https://www.3m.com/3M/en_US/plant-locations-us/knoxville/","No heading found","Contact 3M Knoxville Plant Related Links Knoxville Chamber of Commerce Des Moines International Airport Pella, Iowa Contact 3M Knoxville Plant Contact 3M Knoxville Plant","","","","Success"
"/3M/en_US/plant-locations-us/cynthiana/","https://www.3m.com/3M/en_US/plant-locations-us/cynthiana/","No heading found","Contact 3M Cynthiana Plant Related Links Google Maps Directions to Cynthiana Weather 10-Day Forecast in Cynthiana Contact 3M Cynthiana Plant Contact 3M Cynthiana Plant","","","","Success"
"/3M/en_US/plant-locations-us/chelmsford/","https://www.3m.com/3M/en_US/plant-locations-us/chelmsford/","No heading found","Contact 3M Chelmsford Plant Related Links Visiting Massachusetts Town of Chelmsford Directions to 3M Chelmsford Contact 3M Chelmsford Plant Contact 3M Chelmsford Plant","","","","Success"
"/3M/en_US/plant-locations-us/methuen/","https://www.3m.com/3M/en_US/plant-locations-us/methuen/","No heading found","Contact 3M Methuen Plant Related Links City of Methuen Merrimack Valley Chamber of Commerce Logan International Airport Manchester-Boston Regional Airport Contact 3M Methuen Plant Contact 3M Methuen Plant","","","","Success"
"/3M/en_US/plant-locations-us/detroit/","https://www.3m.com/3M/en_US/plant-locations-us/detroit/","No heading found","Contact 3M Detroit Plant Related Links Detroit Regional Chamber of Commerce Detroit Free Press The Detroit News Detroit Visitor Information City of Detroit loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Detroit Plant Contact 3M Detroit Plant","","","","Success"
"/3M/en_US/plant-locations-us/alexandria/","https://www.3m.com/3M/en_US/plant-locations-us/alexandria/","No heading found","Contact 3M Alexandria Plant Related Links Alexandria Chamber of Commerce Echo Press Douglas County Link Douglas County Census Info loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Alexandria Plant Contact 3M Alexandria Plant","","","","Success"
"/3M/en_US/plant-locations-us/cottagegrove/","https://www.3m.com/3M/en_US/plant-locations-us/cottagegrove/","No heading found","Contact 3M Cottage Grove Plant Related Links City of Cottage Grove, MN Contact 3M Cottage Grove Plant Contact 3M Cottage Grove Plant","","","","Success"
"/3M/en_US/plant-locations-us/fairmont/","https://www.3m.com/3M/en_US/plant-locations-us/fairmont/","No heading found","Contact 3M Fairmont Plant Related Links City of Fairmont Fairmont Schools Fairmont Sentinel Fairmont Chamber of Commerce loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Fairmont Plant Contact 3M Fairmont Plant","","","","Success"
"/3M/en_US/plant-locations-us/hutchinson/","https://www.3m.com/3M/en_US/plant-locations-us/hutchinson/","No heading found","Contact 3M Hutchinson Plant Related Links City of Hutchinson Hutchinson Chamber of Commerce Local Newspaper: Hutchinson Leader Contact 3M Hutchinson Plant Contact 3M Hutchinson Plant","","","","Success"
"/3M/en_US/plant-locations-us/columbia/","https://www.3m.com/3M/en_US/plant-locations-us/columbia/","No heading found","Contact 3M Columbia Plant Related Links City of Columbia, Missouri Contact 3M Columbia Plant Contact 3M Columbia Plant","","","","Success"
"/3M/en_US/plant-locations-us/nevada/","https://www.3m.com/3M/en_US/plant-locations-us/nevada/","No heading found","Contact 3M Nevada Plant Related Links Learn More About Nevada, Missouri Contact 3M Nevada Plant Contact 3M Nevada Plant","","","","Success"
"/3M/en_US/plant-locations-us/springfield/","https://www.3m.com/3M/en_US/plant-locations-us/springfield/","No heading found","Contact 3M Springfield Plant Related Links Springfield Chamber of Commerce Local Springfield Newspaper loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Springfield Plant Contact 3M Springfield Plant","","","","Success"
"/3M/en_US/plant-locations-us/valley/","https://www.3m.com/3M/en_US/plant-locations-us/valley/","No heading found","Contact 3M Valley Plant Related Links Visit Omaha Omaha World Herald Midlands Business Journal Douglas County Post-Gazette Contact 3M Valley Plant Contact 3M Valley Plant","","","","Success"
"/3M/en_US/plant-locations-us/flemington/","https://www.3m.com/3M/en_US/plant-locations-us/flemington/","No heading found","Contact 3M Flemington Plant Related Links Hunterdon County Chamber of Commerce Hunterdon County NJ Local Courier News Hunterdon Local Newspaper Princeton University Rutgers University Directions to the 3M Flemington Plant Contact 3M Flemington Plant Contact 3M Flemington Plant","","","","Success"
"/3M/en_US/plant-locations-us/tonawanda/","https://www.3m.com/3M/en_US/plant-locations-us/tonawanda/","No heading found","Contact 3M Tonawanda Plant Related Links General Tonawanda Information Resources Tonawanda Municipal Government Website General Tonawanda Information Detailed Tonawanda Profile Tonawanda Hotel Information 3M Tonawanda Plant Greetings from 3M Tonawanda Contact 3M Tonawanda Plant Contact 3M Tonawanda Plant","","","","Success"
"/3M/en_US/plant-locations-us/pittsboro/","https://www.3m.com/3M/en_US/plant-locations-us/pittsboro/","No heading found","Contact 3M Pittsboro Plant 3M Pittsboro Plant Greetings from 3M Pittsboro Contact 3M Pittsboro Plant Contact 3M Pittsboro Plant","","","","Success"
"/3M/en_US/plant-locations-us/medina/","https://www.3m.com/3M/en_US/plant-locations-us/medina/","No heading found","Contact 3M Medina Plant Related Links The City of Medina Medina Community Events The City of Cleveland loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Medina Plant Contact 3M Medina Plant","","","","Success"
"/3M/en_US/plant-locations-us/greenville/","https://www.3m.com/3M/en_US/plant-locations-us/greenville/","No heading found","Contact 3M Greenville Plant Related Links 3M Greenville Site Video Contact 3M Greenville Plant Contact 3M Greenville Plant","","","","Success"
"/3M/en_US/plant-locations-us/aberdeen/","https://www.3m.com/3M/en_US/plant-locations-us/aberdeen/","No heading found","Contact 3M Aberdeen Plant Related Links Aberdeen American News Aberdeen Chamber of Commerce Aberdeen’s Visitor Bureau Contact 3M Aberdeen Plant Contact 3M Aberdeen Plant","","","","Success"
"/3M/en_US/plant-locations-us/brookings/","https://www.3m.com/3M/en_US/plant-locations-us/brookings/","No heading found","Contact 3M Brookings Related Links 3M Company Contact 3M Brookings Contact 3M Brookings","","","","Success"
"/3M/en_US/plant-locations-us/angleton/","https://www.3m.com/3M/en_US/plant-locations-us/angleton/","No heading found","Contact 3M Angleton Plant Related Links City of Angleton Angleton Chamber of Commerce Houston Area Airports The Brazosport Facts Newspaper loadPageModule('kungfu/layoutUtil/LayoutUtil'); Contact 3M Angleton Plant Contact 3M Angleton Plant","","","","Success"
"/3M/en_US/plant-locations-us/brownwood/","https://www.3m.com/3M/en_US/plant-locations-us/brownwood/","No heading found","Contact 3M Brownwood Plant Related Links Brownwood Chamber of Commerce Lake Brownwood State Park Brownwood’s Lyric Theater Contact 3M Brownwood Plant Contact 3M Brownwood Plant","","","","Success"
"/3M/en_US/plant-locations-us/cumberland/","https://www.3m.com/3M/en_US/plant-locations-us/cumberland/","No heading found","Contact 3M Cumberland Plant Related Links Cumberland Chamber of Commerce Cumberland Advocate (Local Newspaper) Contact 3M Cumberland Plant Contact 3M Cumberland Plant","","","","Success"
"/3M/en_US/plant-locations-us/menomonie/","https://www.3m.com/3M/en_US/plant-locations-us/menomonie/","No heading found","Contact 3M Menomonie Plant Related Links City of Menomonie Chamber of Commerce Menomonie School District UW Stout University Dunn County Economic Development 3M Menomonie Plant Greetings from 3M Menomonie Contact 3M Menomonie Plant Contact 3M Menomonie Plant","","","","Success"
"/3M/en_US/plant-locations-us/prairieduchien/","https://www.3m.com/3M/en_US/plant-locations-us/prairieduchien/","No heading found","Contact 3M Prairie du Chien Plant Related Links Chamber of Commerce Local Newspaper – Courier-Press Contact 3M Prairie du Chien Plant Contact 3M Prairie du Chien Plant","","","","Success"
"/3M/en_US/plant-locations-us/wausau/","https://www.3m.com/3M/en_US/plant-locations-us/wausau/","No heading found","Contact 3M Wausau Plant Related Links Wausau Chamber of Commerce Wausau School District 11 Contact 3M Wausau Plant Contact 3M Wausau Plant","","","","Success"
