DoD_Component,State_Territory,Installation_Name,Installation_Type,Cleanup_Status
Navy,California,NAS PT MUGU CA NAVAIRWARC,Active,PA/SI Completed - RI Underway
Navy,California,NAVBASE CORONADO,Active,PA/SI and RI Underway
Navy,California,NAVBASE SAN DIEGO,Active,PA/SI Underway
Navy,California,NAVCOMTELSTA STOCKTON,Active,PA/SI Underway
Navy,California,Point Molate NFD,BRAC,PA/SI Underway
Navy,California,PORT HUENEME CA NFELC,Active,PA/SI Completed - RI Underway
Navy,California,SAN DIEGO CA AUXLNDFLD,Active,PA/SI Underway
Navy,California,SAN DIEGO CA FASWTC PAC,Active,PA/SI Underway
Navy,California,SAN DIEGO CA NISE-WEST,Active,PA/SI Underway
Navy,California,SAN NICOLAS IS CA OLF,Active,PA/SI Underway
Navy,California,SEAL BEACH CA WPNSUPFAC,Active,PA/SI Underway
Navy,California,SPAWARSYSCEN PACIFIC SD,Active,PA/SI Underway
Navy,California,Treasure Island NS,BRAC,PA/SI and RI Underway
Navy,California,Tustin MCAS,BRAC,PA/SI Underway
Navy,California,TWENTYNINE PALMS CA MAGCC,Active,PA/SI and RI Underway
Navy,Connecticut,BLOOMFIELD CT NWIRP,Active,Action
Navy,Connecticut,NEW LONDON CT NSB,Active,PA/SI Underway
Navy,District of Columbia,ANACOSTIA DC NS,Active,PA/SI Underway
Navy,District of Columbia,WASHINGTON DC COMNAVDIST,Active,PA/SI Underway
Navy,District of Columbia,WASHINGTON DC NAVSECSTA,Active,Action
Navy,District of Columbia,WASHINGTON DC NRL,Active,PA/SI Underway
Navy,Florida,Cecil Field NAS,BRAC,PA/SI Underway
Navy,Florida,CID CORRY STATION,Active,PA/SI Underway
Navy,Florida,FISC JAX (NWCF),Active,Action
Navy,Florida,JACKSONVILLE FL NAS,Active,PA/SI Underway
Navy,Florida,KEY WEST FL NAS,Active,PA/SI Underway
Navy,Florida,KEY WEST FL NAS,BRAC,PA/SI Underway
Navy,Florida,MAYPORT FL NS,Active,PA/SI Completed - RI Planned
Navy,Florida,NSWC DIV PANAMA CITY,Active,PA/SI Underway
Navy,Florida,Orlando NTC,BRAC,PA/SI Underway
Navy,Florida,PENSACOLA FL NAS,Active,PA/SI and RI Underway
Navy,Florida,SAUFLEY FLD FL NAS,Active,PA/SI Underway
Navy,Florida,WHITING FLD FL NAS,Active,PA/SI Underway
Navy,Georgia,ALBANY GA MCLB,Active,PA/SI Underway
Navy,Georgia,KINGS BAY GA NSB,Active,PA/SI Underway
Navy,Guam,Guam Agana NAS,BRAC,PA/SI Underway
Navy,Guam,GUAM NAVACTS,Active,PA/SI Underway
Navy,Guam,NSA ANDERSEN GUAM,Active,PA/SI and RI Underway
Navy,Hawaii,BARBERS POINT HI NAS,Active,PA/SI Underway
Navy,Hawaii,Barbers Point NAS,BRAC,PA/SI Underway
Navy,Hawaii,BARKING SANDS HI PMRF,Active,PA/SI Underway
Navy,Hawaii,JBPHH PEARL HARBOR HI,Active,PA/SI Underway
Navy,Hawaii,KANEOHE BAY HI MCB,Active,PA/SI Underway
Navy,Hawaii,NAVFAC HAWAII P HARBOR,Active,PA/SI and RI Underway
Navy,Hawaii,NMC EAD DET PEARL HARBOR,Active,PA/SI Underway
Navy,Hawaii,PEARL HARBOR HI FISC,Active,PA/SI and RI Underway
Navy,Hawaii,PEARL HARBOR HI NSY,Active,PA/SI Underway
Navy,Illinois,Glenview NAS,BRAC,PA/SI Underway
Navy,Illinois,GREAT LAKES IL NSTC,Active,PA/SI Underway
Navy,Indiana,Indianapolis,BRAC,PA/SI Underway
Navy,Indiana,NAVSURFWARCENDIV CRANE,Active,PA/SI Underway
Navy,Kentucky,Louisville Crane Division Det NOS/NSWC,BRAC,PA/SI Underway
Navy,Louisiana,NEW ORLEANS LA NAS JRB,Active,PA/SI Underway
Navy,Maine,Brunswick NAS,BRAC,PA/SI Completed - RI Underway
Navy,Maine,NCTAMSLANT DET CUTLER,Active,PA/SI and RI Underway
Navy,Maine,PORTS NSYD PORTS NH,Active,PA/SI Underway
Navy,Maryland,ANNAPOLIS MD NS,Active,PA/SI Underway
Navy,Maryland,Annapolis NSWC Carderock DIV Det,BRAC,PA/SI Completed - RI Underway
Navy,Maryland,BAINBRIDGE MD NTC,Active,Action
Navy,Maryland,CHESAPEAKE BEACH MD RESLB,Active,PA/SI Underway
Navy,Maryland,INDIAN HEAD MD NSWCTRDIV,Active,PA/SI Underway
Navy,Maryland,NAVSURFWARCEN WBETH DD,Active,PA/SI Underway
Navy,Maryland,PATUXENT RIVER MD NAS,Active,PA/SI and RI Underway
Navy,Maryland,SOLOMONS MD NRECC,Active,PA/SI Underway
Navy,Maryland,ST INIGOES MD NAVELEXSYS,Active,PA/SI Underway
Navy,Maryland,W REED NAT MIL MED CTR,Active,Action
Navy,Maryland,(Silver Spring),BRAC,PA/SI Underway
Navy,Massachusetts,BEDFORD MA NWRIP,Active,PA/SI Underway
Navy,Massachusetts,South Weymouth NAS,BRAC,PA/SI and RI Underway
Navy,Midway Islands,MIDWAY ISLAND NAF,BRAC,PA/SI Underway
Navy,Minnesota,MINNEAPOLIS MN NIROP,Active,PA/SI Underway
Navy,Mississippi,GULFPORT MS NCBC,Active,PA/SI Underway
Navy,Mississippi,MERIDIAN MS NAS,Active,PA/SI and RI Underway
Navy,Missouri,KANSAS CITY MO,Active,Action
Navy,Missouri,KANSAS CITY MO,BRAC,PA/SI Underway
Navy,Nevada,FALLON NV NAS,Active,PA/SI and RI Underway
Navy,New Jersey,NMC DET EARLE,Active,PA/SI and RI Underway
Navy,New Jersey,Trenton NAWC-AD,BRAC,PA/SI Completed - RI Underway
Navy,New York,BETHPAGE NY NWIRP,Active,PA/SI Underway
Navy,New York,CALVERTON NY NPRO,Active,PA/SI and RI Underway
Navy,North Carolina,CAMP LEJEUNE NC MCB,Active,PA/SI Underway
Navy,North Carolina,CHERRY POINT NC MCAS,Active,PA/SI Underway
Navy,Pennsylvania,MECHANICSBURG PA NAVICP,Active,PA/SI Underway
Navy,Pennsylvania,Philadelphia NS,BRAC,PA/SI Underway
Navy,Pennsylvania,Warminster NAWC AD,BRAC,PA/SI Completed - RI Underway
Navy,Pennsylvania,Willow Grove NASJRB,BRAC,PA/SI Completed - RI Underway
Navy,Puerto Rico,Puerto Rico NA/NAVACT,BRAC,PA/SI Underway
Navy,Puerto Rico,ROOSEVELT ROADS RQ CGARCA,Active,PA/SI Underway
Navy,Puerto Rico,SAN JUAN PR MCRC,Active,PA/SI Underway
Navy,Rhode Island,DAVISVILLE_NCBC,BRAC,Action
Navy,Rhode Island,NEWPORT RI NETC,Active,PA/SI and RI Underway
Navy,South Carolina,BEAUFORT SC MCAS,Active,PA/SI and RI Underway
Navy,South Carolina,Charleston NS,BRAC,PA/SI Underway
Navy,South Carolina,Charleston NSY,BRAC,PA/SI Underway
Navy,South Carolina,PARRIS ISLAND SC MCRD,Active,PA/SI and RI Underway
Navy,Tennessee,BRISTOL TN NWIRP,Active,PA/SI Underway
Navy,Tennessee,Memphis NAS (Millington),BRAC,PA/SI Underway
Navy,Tennessee,MILLINGTON TN SUPPACT,Active,Action
Navy,Texas,Chase Field NAS,BRAC,PA/SI Underway
Navy,Texas,CORPUS CHRISTI TX NAS,Active,PA/SI Underway
Navy,Texas,Dallas NAS,BRAC,PA/SI Completed - RI Underway
Navy,Texas,DALLAS TX NWIRP,Active,PA/SI Underway
Navy,Texas,FT WORTH TX NAS JRB,Active,PA/SI Underway
Navy,Texas,KINGSVILLE TX NAS,Active,PA/SI Underway
Navy,Texas,MCCLENNAN TX NIROP,Active,PA/SI Underway
Navy,Virginia,CHESAPEAKE VA NSGA NW,Active,PA/SI Underway
Navy,Virginia,CHESAPEAKE VA STJULCREEK,Active,PA/SI Underway
Navy,Virginia,CRANEY ISLAND VA NFD/NSC,Active,PA/SI Underway
Navy,Virginia,DAHLGREN VA NSWCTR DIV,Active,PA/SI Underway
Navy,Virginia,DAM NECK VA,Active,PA/SI Underway
Navy,Virginia,Driver NRTF,BRAC,Action
Navy,Virginia,LITTLE CREEK VA NAVPHIBSE,Active,PA/SI Underway
Navy,Virginia,NMC DET YORKTOWN,Active,PA/SI Underway
Navy,Virginia,NORFOLK VA FISC,Active,PA/SI Underway
Navy,Virginia,NORFOLK VA NB,Active,PA/SI Underway
Navy,Virginia,OCEANA VA NAS,Active,PA/SI and RI Underway
Navy,Virginia,PORTSMOUTH VA NORFOLK NSY,Active,PA/SI Underway
Navy,Virginia,QUANTICO VA MCCOMBDEV CMD,Active,PA/SI Underway
Navy,Virginia,WILLIAMSBURG VA FISC CA,Active,PA/SI Underway
Navy,Washington,BREMERTON WA NAVBASE,Active,PA/SI Underway
Navy,Washington,BREMERTON PUGTSND WA FISC,Active,PA/SI Underway
Navy,Washington,INDIAN ISLAND WA NAVMAG,Active,PA/SI Underway
Navy,Washington,KEYPORT WA NUWC DIV,Active,PA/SI and RI Underway
Navy,Washington,MANCHESTER WA FUELDPTPSND,Active,PA/SI Underway
Navy,Washington,PUGET SOUND WA NAVSHIPYD,Active,PA/SI Underway
Navy,Washington,Puget Sound NS Sand Point,BRAC,PA/SI Underway
Navy,Washington,WHIDBEY IS WA NAS,Active,PA/SI and RI Underway
Navy,West Virginia,ROCKET CTR WVA WV ABL MNR,Active,PA/SI Underway
Air Force,Alabama,Birmingham International Airport,National Guard,PA/SI Underway
Air Force,Alabama,Maxwell-Gunter AFB,ACTIVE,PA/SI Underway
Air Force,Alabama,name),National Guard,PA/SI Underway
Air Force,Alaska,Clear Air Force Station,ACTIVE,PA/SI Completed - RI Planned
Air Force,Alaska,Eareckson AFS,ACTIVE,PA/SI Completed - RI Underway
Air Force,Alaska,Eielson AFB,ACTIVE,PA/SI Completed - RI Underway
Air Force,Alaska,Galena Forward Operating Location,BRAC,PA/SI Completed - RI Planned
Air Force,Alaska,Joint Base Elmendorf-Richardson,ACTIVE,PA/SI and RI Underway
Air Force,Alaska,King Salmon,ACTIVE,PA/SI Completed - RI Underway
Air Force,Alaska,Kulis Air National Guard Base,BRAC,PA/SI Completed - RI Underway
Air Force,Arizona,Air Force Plant 44,ACTIVE,PA/SI Underway
Air Force,Arizona,Air Force Research Laboratory Mesa,BRAC,Action
Air Force,Arizona,Davis-Monthan AFB,ACTIVE,PA/SI and RI Underway
Air Force,Arizona,Luke AFB,ACTIVE,PA/SI and RI Underway
Air Force,Arizona,Morris (Tucson International Airport),National Guard,PA/SI Underway
Air Force,Arizona,Sky Harbor International Airport,National Guard,PA/SI Underway
Air Force,Arizona,Williams AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Arkansas,Eaker AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Arkansas,Ft. Smith,National Guard,PA/SI Underway
Air Force,Arkansas,Little Rock AFB,ACTIVE,PA/SI Underway
Air Force,California,Air Force Plant 42,ACTIVE,PA/SI Underway
Air Force,California,Beale AFB,ACTIVE,PA/SI Underway
Air Force,California,Castle AFB,BRAC,PA/SI Completed - RI Planned
Air Force,California,Channel Islands,National Guard,PA/SI Underway
Air Force,California,Edwards AFB,ACTIVE,PA/SI and RI Underway
Air Force,California,Fresno Air Guard,National Guard,PA/SI Underway
Air Force,California,George AFB,BRAC,PA/SI Completed - RI Planned
Air Force,California,Los Angeles AFB,ACTIVE,Action
Air Force,California,March AFB,BRAC,PA/SI Completed - RI Underway
Air Force,California,March Air Reserve Base,ACTIVE,PA/SI and RI Underway
Air Force,California,Mather AFB,BRAC,PA/SI Completed - RI Planned
Air Force,California,McClellan AFB,BRAC,PA/SI Completed - RI Planned
Air Force,California,Moffett Field,National Guard,PA/SI Underway
Air Force,California,Norton AFB,BRAC,PA/SI Completed - RI Planned
Air Force,California,Onizuka Air Force Station,BRAC,Action
Air Force,California,Ontario Air Force Station,BRAC,Action
Air Force,California,Travis AFB,ACTIVE,PA/SI and RI Underway
Air Force,California,Vandenberg AFB,ACTIVE,PA/SI Underway
Air Force,Colorado,Air Force Plant PJKS,ACTIVE,PA/SI Completed - RI Planned
Air Force,Colorado,Buckley AFB,ACTIVE,PA/SI and RI Underway
Air Force,Colorado,Buckley Annex,BRAC,Action
Air Force,Colorado,Cheyenne Mountain Air Force Station,ACTIVE,PA/SI Completed - RI Planned
Air Force,Colorado,Lowry AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Colorado,Peterson AFB,ACTIVE,PA/SI Completed - RI Underway
Air Force,Colorado,Schriever AFB,ACTIVE,PA/SI Completed - RI Planned
Air Force,Colorado,USAF Academy,ACTIVE,PA/SI Completed - RI Planned
Air Force,Connecticut,Bradley International Airport,National Guard,PA/SI Underway
Air Force,Delaware,Dover AFB,ACTIVE,PA/SI and RI Underway
Air Force,Delaware,New Castle,National Guard,PA/SI Underway
Air Force,Florida,Avon Park Air Force Reserve,ACTIVE,PA/SI Underway
Air Force,Florida,Cape Canaveral Air Force Station,ACTIVE,PA/SI Underway
Air Force,Florida,Eglin AFB,ACTIVE,PA/SI and RI Underway
Air Force,Florida,Homestead AFB,BRAC,Action
Air Force Florida,Homestead Air Reserve Base,ACTIVE,PA/SI Underway,NA
Air Force Florida,Hurlburt Field,ACTIVE,PA/SI Underway,NA
Air Force Florida,Jacksonville,National Guard,PA/SI Underway,NA
Air Force Florida,MacDill AFB,ACTIVE,PA/SI Underway,NA
Air Force Florida,Patrick AFB,ACTIVE,PA/SI Completed - RI Planned,NA
Air Force Florida,Tyndall AFB,ACTIVE,PA/SI Underway,NA
Air Force Georgia,Air Force Plant 6,ACTIVE,PA/SI Underway,NA
Air Force Georgia,Dobbins Air Reserve Base,ACTIVE,PA/SI and RI Underway,NA
Air Force Georgia,Moody AFB,ACTIVE,PA/SI and RI Underway,NA
Air Force Georgia,Robins AFB,ACTIVE,PA/SI Completed - RI Planned,NA
Air Force Georgia,Savannah International Airport,National Guard,PA/SI Underway,NA
Air Force,Hawaii,Bellows Air Force Station,ACTIVE,Action
Air Force,Idaho,Boise,National Guard,PA/SI Underway
Air Force,Idaho,Mountain Home AFB,ACTIVE,PA/SI and RI Underway
Air Force,Illinois,Chanute AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Illinois,Greater Peoria,National Guard,PA/SI and RI Underway
Air Force,Illinois,O'Hare Air Reserve Station,BRAC,PA/SI Completed - RI Planned
Air Force,Illinois,Scott AFB,ACTIVE,PA/SI Underway
Air Force,Illinois,Springfield Municipal (Capital),National Guard,PA/SI and RI Underway
Air Force,Indiana,Fort Wayne Municipal,National Guard,PA/SI Underway
Air Force,Indiana,Grissom AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Indiana,Grissom Air Reserve Base,ACTIVE,PA/SI Completed - RI Planned
Air Force,Indiana,Hulman,National Guard,PA/SI and RI Underway
Air Force,Iowa,Des Moines,National Guard,PA/SI Underway
Air Force,Iowa,SIOUX CTY APT ANG (EESOH-MIS name) National Guard,PA/SI Underway,NA
Air Force,Kansas,Forbes Field,National Guard,PA/SI Underway
Air Force,Kansas,McConnell AFB,ACTIVE,PA/SI and RI Underway
Air Force,Kentucky,Standiford Field Air National Guard National Guard,PA/SI Underway,NA
Air Force,Louisiana,Barksdale AFB,ACTIVE,PA/SI Underway
Air Force,Louisiana,England AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Maine,Bangor International Airport,National Guard,PA/SI Underway
Air Force,Maine,Loring AFB,BRAC,PA/SI Completed - RI Underway
Air Force,Maryland,Joint Base Andrews,ACTIVE,PA/SI Underway
Air Force,Maryland,Martin State,National Guard,PA/SI Completed - RI Planned
Air Force,Massachusetts,Barnes Municipal,National Guard,PA/SI Underway
Air Force,Massachusetts,Hanscom AFB,ACTIVE,PA/SI Underway
Air Force,Massachusetts,Massachusetts Military Reservation),National Guard,PA/SI and RI Underway
Air Force,Massachusetts,Westover Air Reserve Base,ACTIVE,PA/SI Completed - RI Planned
Air Force,Michigan,Alpena,National Guard,PA/SI and RI Underway
Air Force,Michigan,Calumet Air Force Station,ACTIVE,Action
Air Force,Michigan,KI Sawyer AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Michigan,Selfridge,National Guard,PA/SI Underway
Air Force,Michigan,WK Kellogg,National Guard,PA/SI and RI Underway
Air Force,Michigan,Wurtsmith AFB,BRAC,PA/SI Completed - RI Underway
Air Force,Minnesota,Duluth International Airport,National Guard,PA/SI Underway
Air Force,Minnesota,Minneapolis-St Paul Air Reserve Station,ACTIVE,PA/SI Completed - RI Planned
Air Force,Minnesota,Minneapolis-St Paul IAP,National Guard,PA/SI Underway
Air Force,Mississippi,Columbus AFB,ACTIVE,PA/SI Underway
Air Force Mississippi,Gulfport Biloxi,National Guard,PA/SI Underway,NA
Air Force Mississippi,Jackson,National Guard,PA/SI Underway,NA
Air Force Mississippi,Keesler AFB,ACTIVE,PA/SI Completed - RI Planned,NA
Air Force Mississippi,Key Field,National Guard,PA/SI Underway,NA
Air Force Missouri,Lambert St. Louis,National Guard,PA/SI Underway,NA
Air Force Missouri,Richards-Gebaur AFB,BRAC,PA/SI Completed - RI Planned,NA
Air Force Missouri,Rosecrans Memorial,National Guard,PA/SI Underway,NA
Air Force Missouri,Whiteman AFB,ACTIVE,PA/SI Underway,NA
Air Force Montana,Great Falls International Airport,National Guard,PA/SI Underway,NA
Air Force Montana,Malmstrom AFB,ACTIVE,PA/SI Completed - RI Planned,NA
Air Force Nebraska,Lincoln Municipal,National Guard,PA/SI Underway,NA
Air Force Nebraska,Offutt AFB,ACTIVE,PA/SI and RI Underway,NA
Air Force Nevada,Creech AFB,ACTIVE,PA/SI Underway,NA
Air Force,Nevada,Nellis AFB,ACTIVE,PA/SI Completed - RI Underway
Air Force,Nevada,Reno Tahoe,National Guard,PA/SI Underway
Air Force,New Hampshire,New Boston Air Force Station,ACTIVE,PA/SI Underway
Air Force,New Hampshire,Pease AFB,BRAC,PA/SI Completed - RI Underway
Air Force,New Hampshire,Pease,National Guard,Another Installation
Air Force,New Jersey,Atlantic City,National Guard,PA/SI Underway
Air Force,New Jersey,Joint Base McGuire-Dix-Lakehurst,ACTIVE,PA/SI and RI Underway
Air Force,New Mexico,Cannon AFB,ACTIVE,PA/SI Completed - RI Underway
Air Force,New Mexico,Holloman AFB,ACTIVE,PA/SI Completed - RI Planned
Air Force,New Mexico,Kirtland AFB,ACTIVE,PA/SI Underway
Air Force,New York,Air Force Research Laboratory Rome,ACTIVE,PA/SI Completed - RI Planned
Air Force,New York,Francis S. Gabreski,National Guard,PA/SI Completed - RI Planned
Air Force,New York,Griffiss AFB,BRAC,PA/SI Completed - RI Planned
Air Force,New York,Hancock Field,National Guard,PA/SI Underway
Air Force,New York,Niagara Falls Air Reserve Station,ACTIVE,PA/SI Completed - RI Planned
Air Force,New York,Plattsburgh AFB,BRAC,PA/SI Completed - RI Underway
Air Force,New York,Roslyn Air National Guard Station,BRAC,Action
Air Force,New York,Schenectady Airport,National Guard,PA/SI Underway
Air Force,New York,Stewart International Airport,National Guard,PA/SI Underway
Air Force,North Carolina,Charlotte Douglas,National Guard,PA/SI Underway
Air Force,North Carolina,New London ANGB (Stanly County Airport),National Guard,PA/SI Underway
Air Force,North Carolina,Seymour Johnson AFB,ACTIVE,PA/SI Underway
Air Force,North Dakota,Cavalier Air Force Station,ACTIVE,PA/SI and RI Underway
Air Force,North Dakota,Grand Forks AFB,ACTIVE,PA/SI Completed - RI Planned
Air Force,North Dakota,Hector Field,National Guard,PA/SI Underway
Air Force,North Dakota,Minot AFB,ACTIVE,PA/SI and RI Underway
Air Force,Ohio,Air Force Plant 36,ACTIVE,Action
Air Force,Ohio,Air Force Plant 85,ACTIVE,PA/SI Completed - RI Planned
Air Force,Ohio,Gentile Air Force Station,BRAC,PA/SI Completed - RI Planned
Air Force,Ohio,Mansfield,National Guard,PA/SI Underway
Air Force,Ohio,Newark AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Ohio,Rickenbacker,BRAC,PA/SI Completed - RI Planned
Air Force Ohio,Rickenbacker,National Guard,PA/SI Underway,NA
Air Force Ohio,Springfield-Beckley Municipal,National Guard,PA/SI Underway,NA
Air Force Ohio,Toledo Express,National Guard,PA/SI and RI Underway,NA
Air Force Ohio,Wright Patterson AFB,ACTIVE,PA/SI and RI Underway,NA
Air Force Ohio,Youngstown Air Reserve Station,ACTIVE,PA/SI Underway,NA
Air Force Oklahoma,Air Force Plant 3,ACTIVE,PA/SI Completed - RI Planned,NA
Air Force Oklahoma,Altus AFB,ACTIVE,PA/SI Completed - RI Planned,NA
Air Force Oklahoma,Tinker AFB,ACTIVE,PA/SI Underway,NA
Air Force Oklahoma,Tulsa International Airport,National Guard,PA/SI Underway,NA
Air Force Oklahoma,Vance AFB/Kegelman,ACTIVE,PA/SI Underway,NA
Air Force Oklahoma,Will Rogers International Airport,National Guard,PA/SI Underway,NA
Air Force Oregon,Klamath Falls,National Guard,PA/SI Underway,NA
Air Force,Oregon,PORTLAND (EESOH-MIS name),National Guard,PA/SI Completed - RI Underway
Air Force,Pennsylvania,Grove ANG),National Guard,PA/SI and RI Underway
Air Force,Pennsylvania,Harrisburg International Airport,National Guard,PA/SI Underway
Air Force,Pennsylvania,Pittsburgh Air Reserve Station,ACTIVE,PA/SI Underway
Air Force,Pennsylvania,Pittsburgh ANGB,National Guard,PA/SI Underway
Air Force,Puerto Rico,LUIS MUNIZ MARIN (EESOH-MIS name),National Guard,PA/SI Underway
Air Force,Rhode Island,Quonset Point State Airport,National Guard,PA/SI Underway
Air Force,South Carolina,Joint Base Charleston,ACTIVE,PA/SI Completed - RI Underway
Air Force,South Carolina,McEntire Air Guard,National Guard,PA/SI Underway
Air Force,South Carolina,Myrtle Beach AFB,BRAC,PA/SI Completed - RI Planned
Air Force,South Carolina,Shaw AFB,ACTIVE,PA/SI and RI Underway
Air Force,South Dakota,Ellsworth AFB,ACTIVE,PA/SI Completed - RI Underway
Air Force,South Dakota,Joe Foss Field (Sioux Falls),National Guard,PA/SI and RI Underway
Air Force,Tennessee,Arnold AFB,ACTIVE,PA/SI and RI Underway
Air Force,Tennessee,McGhee-Tyson,National Guard,PA/SI Underway
Air Force,Tennessee,Memphis International Airport,National Guard,PA/SI Underway
Air Force,Tennessee,Nashville Metro,National Guard,PA/SI Underway
Air Force,Texas,Air Force Plant 4,ACTIVE,PA/SI Completed - RI Planned
Air Force,Texas,Bergstrom AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Texas,Brooks-City Base,BRAC,Action
Air Force,Texas,Carswell AFB,BRAC,Action
Air Force,Texas,Dyess AFB,ACTIVE,PA/SI Underway
Air Force,Texas,Ellington Field,National Guard,PA/SI Underway
Air Force,Texas,Goodfellow AFB,ACTIVE,PA/SI Underway
Air Force,Texas,"Randolph, Ft Sam Houston, Camp Bullis",ACTIVE,PA/SI and RI Underway
Air Force,Texas,Kelly AFB,BRAC,PA/SI Completed - RI Planned
Air Force,Texas,Laughlin AFB,ACTIVE,PA/SI Completed - RI Planned
Air Force,Texas,Reese AFB,BRAC,PA/SI Completed - RI Underway
Air Force,Texas,Sheppard AFB,ACTIVE,PA/SI Underway
Air Force,Utah,Hill AFB,ACTIVE,PA/SI and RI Underway
Air Force,Utah,Salt Lake City,National Guard,PA/SI Underway
Air Force,Vermont,Burlington,National Guard,PA/SI Underway
Air Force,Virginia,Joint Base Langley-Eustis,ACTIVE,PA/SI Completed - RI Planned
Air Force,Virginia,Richmond International Airport Byrd Field,National Guard,PA/SI Underway
Air Force Wake Island,Wake Island,ACTIVE,PA/SI Completed - RI Planned,NA
Air Force,Washington,Fairchild AFB,ACTIVE,PA/SI Completed - RI Underway
Air Force,Washington,Four Lakes Air National Guard Station,BRAC,Action
Air Force,West Virginia,EWVRA Shepherd Field (Martinsburg),National Guard,PA/SI Underway
Air Force,West Virginia,Yeager (McLaughlin),National Guard,PA/SI Underway
Air Force,Wisconsin,General Mitchell,National Guard,PA/SI Underway
Air Force,Wisconsin,General Mitchell Air Reserve Station,BRAC,PA/SI Completed - RI Planned
Air Force,Wisconsin,Truax Field,National Guard,PA/SI and RI Underway
Air Force,Wisconsin,Volk Field,National Guard,PA/SI and RI Underway
Air Force,Wyoming,Cheyenne Municipal,National Guard,PA/SI Underway
Air Force,Wyoming,FE Warren AFB,ACTIVE,PA/SI Completed - RI Planned
DLA,California,DFSP Norwalk,Active,PA/SI Underway
DLA,California,DFSP Ozol,Active,PA/SI Underway
DLA,California,DFSP San Pedro,Active,PA/SI Underway
DLA,New Hampshire,DFSP Newington,Active,PA/SI Underway
DLA,New York,DFSP Verona,Active,PA/SI Underway
DLA,Pennsylvania,Defense Distribution Center Susquehanna,Active,PA/SI Underway
DLA,Virginia,Defense Supply Center Richmond,Active,PA/SI Underway
FUDS,California,HAMILTON ARMY AIRFIELD,FUDS,PA/SI Underway
FUDS,Michigan,KINCHELOE AIR FORCE BASE,FUDS,PA/SI Underway
FUDS,Rhode Island,NAVAL AUX LANDING FIELD,FUDS,PA/SI Underway
FUDS,Washington,MANCHESTER ANNEX,FUDS,PA/SI Underway
